TFSI,NCN,Ni,Fe,Predictor,Gas
312.79,769.82,518.94,4.32392405063291,No gas,0
312.99,771.6,519.21,4.32379746835443,No gas,0
312.89,769.82,518.4,4.32367088607595,No gas,0
313.28,771.01,518.94,4.32367088607595,No gas,0
313.77,770.42,518.94,4.32367088607595,No gas,0
313.48,769.82,518.67,4.32341772151899,No gas,0
312.99,769.82,518.94,4.32329113924051,No gas,0
313.09,772.2,518.67,4.32316455696203,No gas,0
313.48,770.42,518.94,4.32392405063291,No gas,0
313.28,767.46,517.87,4.3246835443038,No gas,0
313.38,769.82,518.94,4.32430379746836,No gas,0
313.38,771.6,518.94,4.32392405063291,No gas,0
314.27,769.82,518.4,4.32379746835443,No gas,0
311.82,775.19,517.33,4.32278481012658,No gas,0
312.89,769.82,518.67,4.32177215189873,No gas,0
313.48,771.01,518.94,4.32202531645569,No gas,0
312.99,770.42,518.67,4.32227848101266,No gas,0
313.68,770.42,518.94,4.32227848101266,No gas,0
313.48,770.42,518.67,4.32227848101266,No gas,0
312.21,769.82,517.33,4.32354430379747,No gas,0
313.48,770.42,518.67,4.32430379746836,No gas,0
313.19,769.23,518.67,4.32354430379747,No gas,0
313.58,770.42,518.94,4.32329113924051,No gas,0
313.58,771.01,518.67,4.32303797468354,No gas,0
313.28,770.42,518.67,4.32303797468354,No gas,0
312.21,770.42,518.4,4.32303797468354,No gas,0
312.79,770.42,518.94,4.32341772151899,No gas,0
313.38,770.42,518.67,4.32367088607595,No gas,0
312.79,769.82,518.94,4.32354430379747,No gas,0
314.47,771.01,518.94,4.32303797468355,No gas,0
313.48,770.42,518.67,4.32253164556962,No gas,0
313.38,769.82,518.67,4.32126582278481,No gas,0
313.58,770.42,518.4,4.32,No gas,0
313.38,770.42,518.94,4.32,No gas,0
313.58,769.82,518.67,4.32,No gas,0
313.19,771.01,518.67,4.32,No gas,0
313.09,770.42,518.94,4.31949367088608,No gas,0
313.48,770.42,518.94,4.31898734177215,No gas,0
312.21,770.42,519.21,4.31911392405063,No gas,0
313.58,770.42,518.67,4.31924050632911,No gas,0
313.48,771.01,518.4,4.31936708860759,No gas,0
314.86,771.01,518.4,4.31949367088608,No gas,0
313.28,770.42,518.4,4.31962025316456,No gas,0
313.38,770.42,518.67,4.31962025316456,No gas,0
313.48,770.42,518.67,4.31962025316456,No gas,0
313.48,771.01,519.21,4.3193670886076,No gas,0
313.19,770.42,518.4,4.31911392405063,No gas,0
313.77,769.82,518.94,4.31848101265823,No gas,0
314.56,773.99,520.56,4.31784810126582,No gas,0
312.5,773.4,518.4,4.3173417721519,No gas,0
313.09,769.82,518.67,4.31620253164557,No gas,0
313.09,773.4,519.21,4.31506329113924,No gas,0
313.38,771.01,518.67,4.31481012658228,No gas,0
313.97,771.6,518.4,4.31455696202532,No gas,0
313.48,769.82,518.67,4.31291139240506,No gas,0
313.19,770.42,518.94,4.31126582278481,No gas,0
313.58,770.42,518.94,4.31151898734177,No gas,0
312.5,770.42,519.21,4.31177215189873,No gas,0
313.28,770.42,518.67,4.31202531645569,No gas,0
313.38,771.01,518.67,4.31253164556962,No gas,0
312.79,769.82,518.4,4.31303797468354,No gas,0
312.89,769.82,518.94,4.31227848101266,No gas,0
312.5,768.64,518.67,4.31151898734177,No gas,0
312.7,771.01,518.94,4.31151898734177,No gas,0
313.19,769.82,518.94,4.31151898734177,No gas,0
312.99,770.42,518.94,4.31151898734177,No gas,0
312.99,769.82,518.67,4.31177215189873,No gas,0
313.48,771.01,518.67,4.31202531645569,No gas,0
313.68,769.82,518.67,4.31227848101266,No gas,0
313.58,770.42,518.94,4.31253164556962,No gas,0
312.79,770.42,518.94,4.3126582278481,No gas,0
313.87,771.6,518.94,4.31278481012658,No gas,0
312.89,771.01,518.4,4.31291139240506,No gas,0
313.19,769.23,518.67,4.31253164556962,No gas,0
313.77,772.2,517.87,4.31215189873418,No gas,0
312.3,770.42,518.94,4.31202531645569,No gas,0
313.09,769.82,518.94,4.31189873417721,No gas,0
312.99,770.42,518.94,4.31139240506329,No gas,0
312.89,769.82,518.94,4.31088607594937,No gas,0
314.27,773.4,518.94,4.31037974683544,No gas,0
313.58,772.8,519.48,4.31025316455696,No gas,0
313.19,771.01,518.4,4.31012658227848,No gas,0
313.48,770.42,518.67,4.31037974683544,No gas,0
313.28,769.82,518.67,4.3106329113924,No gas,0
313.68,770.42,518.13,4.31177215189873,No gas,0
313.48,769.82,518.67,4.31291139240506,No gas,0
313.19,769.82,518.4,4.31278481012658,No gas,0
313.38,770.42,518.67,4.31139240506329,No gas,0
313.28,770.42,518.4,4.31,No gas,0
313.68,771.01,518.94,4.31012658227848,No gas,0
313.58,770.42,519.75,4.31025316455696,No gas,0
313.58,771.01,518.67,4.31025316455696,No gas,0
313.58,770.42,518.67,4.31025316455696,No gas,0
313.28,769.82,518.94,4.30987341772152,No gas,0
313.77,769.82,518.67,4.30936708860759,No gas,0
313.38,770.42,518.67,4.30886075949367,No gas,0
313.68,771.01,518.94,4.30911392405063,No gas,0
312.99,771.01,517.6,4.30936708860759,No gas,0
313.77,769.82,518.94,4.30810126582278,No gas,0
313.38,770.42,520.83,4.30683544303797,No gas,0
313.77,771.6,518.94,4.30683544303797,No gas,0
313.58,770.42,518.4,4.30683544303797,No gas,0
313.68,770.42,518.4,4.30683544303797,No gas,0
314.07,774.59,518.4,4.30683544303797,No gas,0
313.58,770.42,518.67,4.30683544303797,No gas,0
313.38,771.01,518.94,4.30645569620253,No gas,0
313.48,769.82,518.94,4.30607594936709,No gas,0
312.99,769.23,518.94,4.30594936708861,No gas,0
313.28,769.82,518.94,4.30582278481013,No gas,0
313.77,770.42,518.4,4.30569620253165,No gas,0
312.99,771.01,518.67,4.3053164556962,No gas,0
313.09,769.82,519.48,4.30493670886076,No gas,0
313.38,770.42,518.4,4.3053164556962,No gas,0
313.48,771.6,518.4,4.30569620253164,No gas,0
313.58,770.42,518.94,4.30582278481012,No gas,0
313.48,770.42,518.67,4.30594936708861,No gas,0
313.68,770.42,518.67,4.30607594936709,No gas,0
313.19,769.82,518.67,4.30708860759494,No gas,0
313.38,769.82,518.67,4.30810126582278,No gas,0
313.19,769.23,518.94,4.30772151898734,No gas,0
313.77,772.2,518.94,4.3073417721519,No gas,0
313.97,770.42,518.67,4.30708860759494,No gas,0
313.58,769.82,518.67,4.30683544303797,No gas,0
313.97,771.01,518.4,4.30658227848101,No gas,0
313.48,770.42,518.67,4.30746835443038,No gas,0
313.38,771.6,518.94,4.30835443037975,No gas,0
313.48,770.42,518.67,4.30848101265823,No gas,0
311.92,769.82,518.67,4.30860759493671,No gas,0
313.38,769.82,518.67,4.30860759493671,No gas,0
313.28,769.82,518.67,4.30860759493671,No gas,0
313.68,770.42,518.67,4.30860759493671,No gas,0
313.77,770.42,519.21,4.30848101265823,No gas,0
313.58,770.42,518.13,4.30835443037975,No gas,0
313.48,770.42,518.67,4.30810126582279,No gas,0
313.28,770.42,518.94,4.30784810126582,No gas,0
313.38,771.01,518.67,4.30759493670886,No gas,0
313.58,769.82,518.67,4.3073417721519,No gas,0
318.17,771.01,518.94,4.30708860759494,No gas,0
313.97,769.23,518.4,4.30645569620253,No gas,0
313.68,772.2,518.4,4.30582278481013,No gas,0
313.38,769.82,518.4,4.30632911392405,No gas,0
313.38,769.23,518.67,4.30683544303797,No gas,0
313.68,770.42,518.94,4.30683544303797,No gas,0
313.38,771.01,518.67,4.30683544303797,No gas,0
313.58,771.6,519.21,4.30683544303797,No gas,0
313.58,771.01,518.4,4.30632911392405,No gas,0
313.58,771.01,518.67,4.30582278481013,No gas,0
312.89,765.11,517.87,4.30620253164557,No gas,0
310.85,769.23,518.67,4.30658227848101,No gas,0
313.87,771.01,519.21,4.30746835443038,No gas,0
313.38,769.82,518.94,4.30835443037974,No gas,0
313.19,771.01,518.67,4.30784810126582,No gas,0
313.48,771.01,518.67,4.30746835443038,No gas,0
313.38,771.6,518.67,4.30708860759494,No gas,0
313.38,770.42,518.67,4.30759493670886,No gas,0
313.19,769.82,518.94,4.30810126582278,No gas,0
313.28,770.42,518.67,4.30822784810126,No gas,0
313.19,771.01,518.4,4.30835443037975,No gas,0
313.38,770.42,518.67,4.30810126582278,No gas,0
313.19,770.42,518.67,4.30784810126582,No gas,0
312.79,769.23,518.94,4.30759493670886,No gas,0
313.48,770.42,518.67,4.30721518987342,No gas,0
313.77,769.82,518.67,4.30683544303797,No gas,0
313.28,769.82,518.67,4.30556962025316,No gas,0
313.28,769.82,518.94,4.30430379746835,No gas,0
313.58,770.42,518.4,4.30430379746835,No gas,0
313.28,771.01,518.4,4.30430379746835,No gas,0
313.87,770.42,518.67,4.30430379746835,No gas,0
313.58,770.42,518.67,4.30417721518987,No gas,0
313.38,771.01,518.67,4.30405063291139,No gas,0
314.86,771.01,520.29,4.30367088607595,No gas,0
313.58,771.01,518.4,4.30329113924051,No gas,0
312.7,771.01,519.21,4.30341772151899,No gas,0
313.68,771.01,520.02,4.30354430379747,No gas,0
313.77,770.42,518.67,4.30367088607595,No gas,0
313.58,770.42,518.94,4.30329113924051,No gas,0
313.68,771.01,518.94,4.30291139240506,No gas,0
313.87,771.01,518.4,4.30291139240506,No gas,0
313.48,770.42,518.67,4.30291139240506,No gas,0
313.48,771.6,518.94,4.30303797468355,No gas,0
313.58,771.01,518.67,4.30316455696203,No gas,0
313.48,771.01,518.94,4.30329113924051,No gas,0
313.58,769.82,518.67,4.30329113924051,No gas,0
313.77,770.42,518.67,4.30329113924051,No gas,0
312.79,769.23,518.4,4.30329113924051,No gas,0
312.89,769.23,518.67,4.30329113924051,No gas,0
313.48,771.01,519.75,4.30405063291139,No gas,0
313.87,770.42,519.21,4.30481012658228,No gas,0
313.48,770.42,518.67,4.30556962025317,No gas,0
313.48,771.01,518.4,4.30658227848101,No gas,0
313.38,770.42,518.67,4.30759493670886,No gas,0
313.77,770.42,519.21,4.30683544303798,No gas,0
313.48,769.82,518.67,4.30607594936709,No gas,0
313.38,771.01,519.48,4.30594936708861,No gas,0
313.48,770.42,518.67,4.30582278481013,No gas,0
313.28,772.2,519.21,4.30569620253165,No gas,0
313.58,770.42,518.94,4.30455696202532,No gas,0
312.7,771.01,518.67,4.30341772151899,No gas,0
313.19,769.82,518.94,4.30379746835443,No gas,0
313.58,771.01,518.94,4.30417721518987,No gas,0
313.48,770.42,518.67,4.30430379746836,No gas,0
313.58,771.01,518.4,4.30443037974684,No gas,0
313.48,770.42,518.67,4.30455696202532,No gas,0
314.37,767.46,518.4,4.30379746835443,No gas,0
313.48,770.42,518.94,4.30303797468354,No gas,0
313.19,771.01,518.67,4.30291139240506,No gas,0
313.58,770.42,518.94,4.30278481012658,No gas,0
313.68,770.42,518.94,4.30417721518987,No gas,0
313.19,769.23,518.67,4.30556962025316,No gas,0
