TFSI,NCN,Ni,Fe,Predictor,Gas
315.76,767.46,520.02,6.43784810126582,No gas,0
313.97,766.87,518.67,6.43810126582279,No gas,0
313.97,767.46,518.13,6.43848101265823,No gas,0
313.97,766.87,518.94,6.43962025316456,No gas,0
314.17,768.05,518.4,6.43924050632912,No gas,0
314.07,766.28,518.4,6.43898734177215,No gas,0
313.87,767.46,518.4,6.43873417721519,No gas,0
313.87,766.87,518.4,6.43848101265823,No gas,0
314.17,767.46,518.4,6.43569620253165,No gas,0
313.09,775.19,521.65,6.43291139240506,No gas,0
313.87,767.46,518.13,6.43329113924051,No gas,0
313.97,766.87,518.13,6.43341772151899,No gas,0
314.07,768.05,518.13,6.43354430379747,No gas,0
314.17,766.87,518.67,6.43316455696203,No gas,0
314.56,767.46,518.4,6.43253164556962,No gas,0
313.97,766.87,518.4,6.43227848101266,No gas,0
314.07,768.64,518.4,6.43316455696202,No gas,0
313.97,767.46,518.4,6.43455696202532,No gas,0
314.47,767.46,518.13,6.43417721518987,No gas,0
314.76,765.7,518.4,6.43291139240506,No gas,0
314.07,767.46,518.4,6.43253164556962,No gas,0
313.87,766.87,518.13,6.4320253164557,No gas,0
314.17,766.87,518.67,6.43139240506329,No gas,0
314.07,766.87,518.13,6.43075949367089,No gas,0
313.87,767.46,518.13,6.43075949367089,No gas,0
314.07,766.28,518.13,6.42924050632912,No gas,0
314.17,767.46,518.13,6.42772151898734,No gas,0
313.97,767.46,518.4,6.42797468354431,No gas,0
314.07,768.05,518.4,6.42759493670886,No gas,0
313.87,766.87,518.4,6.4279746835443,No gas,0
314.07,767.46,519.21,6.42924050632911,No gas,0
313.87,768.05,519.21,6.43063291139241,No gas,0
313.97,768.64,518.13,6.43012658227848,No gas,0
313.77,766.28,518.4,6.43025316455696,No gas,0
314.27,767.46,518.67,6.43063291139241,No gas,0
314.07,766.28,518.4,6.43,No gas,0
314.17,767.46,518.67,6.4293670886076,No gas,0
314.27,766.87,518.67,6.42873417721519,No gas,0
314.17,767.46,518.4,6.42911392405063,No gas,0
314.17,766.87,518.4,6.42721518987342,No gas,0
313.97,767.46,518.67,6.4253164556962,No gas,0
313.97,766.87,518.4,6.42556962025316,No gas,0
313.87,767.46,518.67,6.4253164556962,No gas,0
